artist_id,genres,artist_popularity,artist_followers
37lYaYPWOHjKXBD33S6LNv,country,51,83562
2qNrJcE9LjzPdiXbrjkqFa,,70,1100360
2ItyqN4i9lNz49g421p0Cl,anime,49,15513
4ws2inM1n8fx4JijwRqHzS,,54,16406
32inCN7Q5bGe75dTlIFpOk,,18,182
59hLmB5DrdihCYtNeFeW1U,,65,564151
7cPmBlC8WQigJ6SmasdV4b,,16,199
6evVLxWyiwmi8gDtHn1Vzx,,36,11333
6zpNfYJcPavd1pqLXKiSvl,sertanejo|sertanejo tradicional|sertanejo universitário,62,1788498
4sOvsEM0ooH149joyEm7Wg,v-pop|vietnam indie|vietnamese bolero|vietnamese hip hop|vinahouse,44,114387
0BvkDsjIUla7X0k6CSWh1I,country|acoustic country,78,9218869
3bXI7okxW0V3IBXPgnfcG5,,28,321
2wX6xSig4Rig5kZU6ePlWe,big room|edm|slap house|electronica,65,1778121
2h1yu5lZfADFN2OG7UvzEq,honky tonk|rockabilly,28,12496
10qftDVPJi5n8xFsgZHu5K,,20,201
5Pwc4xIPtQLFEnJriah9YJ,soft pop,85,18279986
1fQjpmcx8iNIy1gKRelTD2,vietnam indie|v-pop,42,48758
1R52cwGf75yTf7I3Q0Irf8,k-pop,56,830631
1HGoDMf4NV49KgHsZFK6CS,vinahouse|v-pop,14,236
5ro8EfOMDdgMSbIccUShrP,reggae,54,82719
55U98QFBJAkjC7bDfpVqtg,vietnamese bolero|bolero,32,4827
69mxXDPodcz1qr9p68AqsJ,children's music,37,9396
7cu0Ithis498siYB1TDWuY,,9,641
2M4Yt7oKGoYd0wqU44k4i2,country,67,1552494
3LVqjXvcYbwMZc4vt4wKpM,vietnam indie|v-pop,30,23716
4mxWe1mtYIYfP040G38yvS,country|christian country,75,3170136
19EC8VR2I9uIN60bW9hj4B,traditional music|vietnamese bolero,31,4402
6GfiCQDFYANz5wUkSmb3Dr,christian rock|christian alternative rock|rap metal,67,1454114
464lg9IWmEnZAqVVwbkO9t,vietnamese bolero,22,5496
6x2LnllRG5uGarZMsD4iO8,country|acoustic country|pop country,78,4886952
5TIZ9p5TSviYl96ladXXFw,vietnamese bolero|bolero|v-pop,43,120561
5nJFIxTnnNBh2ZIP3dsk6x,children's music,46,34698
06HL4z0CvFAxyc27GXpf02,,98,137688349
0FGUq23Ku8rmR1rrRHhWSa,bhangra|punjabi pop,30,385084
26jdbJyBkpr6LivDYvKp2r,,43,23348
4NZvixzsSefsNiIqXn0NDe,,70,1241018
3qjM5wZcTHcHFf1c8ihjWr,comedy,1,277
